CountryName,CountryCode,SeriesName,SeriesCode,2010[YR2010],2011[YR2011],2012[YR2012],2013[YR2013],2014[YR2014]
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.63170823,9.484506202,7.750297593,7.68380997,7.351000022
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,6.04E+12,7.49E+12,8.46E+12,9.49E+12,1.04E+13
China,CHN,Internet users (per 100 people),IT.NET.USER.P2,34.3,38.3,42.30011749,45.8,49.3
China,CHN,Rural population,SP.RUR.TOTL,679206337,664363135,649832871,635688202,621970693
China,CHN,  Population- female (% of total)  ,SP.POP.TOTL.FE.ZS,48.52554642,48.51508767,48.50442503,48.49411793,48.48491116
China,CHN,Population growth (annual %),SP.POP.GROW,0.482959689,0.479150454,0.487231118,0.493709634,0.506311592
China,CHN,  Population- total  ,SP.POP.TOTL,1337705000,1344130000,1350695000,1357380000,1364270000
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,10.09868985,8.961165489,7.226581504,7.153474861,6.808843125
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,4514.94052,5574.187093,6264.643878,6991.853866,7593.881891
China,CHN,  Labor force- total  ,SL.TLF.TOTL.IN,781054640,790183028,795863202,801790592,.. 
China,CHN,  Labor force- female (% of total labor force)  ,SL.TLF.TOTL.FE.ZS,43.97383953,43.92088196,43.92304496,43.86395756,.. 
China,CHN,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,0.377054286,0.372698463,0.376069655,0.373289489,..
China,CHN,Surface area (sq. km),AG.SRF.TOTL.K2,9562911,9562911,9562911,9562911,9562911
China,CHN,Population density (people per sq. km of land area),EN.POP.DNST,142.4877434,143.1721123,143.8713936,144.5834568,145.317356
China,CHN,Arable land (% of land area),AG.LND.ARBL.ZS,11.42070625,11.34614465,11.28223471,11.2609314,..
China,CHN,  Unemployment- total (% of total labor force) (modeled ILO estimate)  ,SL.UEM.TOTL.ZS,4.199999809,4.300000191,4.5,4.599999905,.. 
